"","ID1","lat","long","el","ID2"
"1","A5",51.03456,-123.13475,1726,"."
"2","B5",51.04001,-123.11927,2039,"."
"3","B6",51.018076,-123.107702,1572,"."
"4","C3",51.086528,-123.064637,0,"."
"5","C6",51.003239,-123.065075,1522,"."
"6","C9",50.926919,-123.073094,1501,"."
"7","D4",51.063103,-123.034262,1595,"."
"8","D5",51.053289,-123.019345,1575,"."
"9","D6",51.014969,-123.012881,2001,"."
"10","D7",50.999525,-123.021933,1507,"."
"11","D9",50.941163,-123.034525,1405,"."
"12","E4",51.04946,-122.982331,1510,"."
"13","E5",51.021185,-122.983455,1812,"."
"14","E6",51.006598,-122.996068,1628,"."
"15","E7",50.979162,-122.980434,1344,"."
"16","E8",50.950261,-122.984857,1318,"."
"17","F4",51.077209,-122.937862,2150,"."
"18","F5",51.037877,-122.953738,1517,"."
"19","F6",51.022325,-122.964246,1552,"."
"20","F7",50.995506,-122.954459,1803,"."
"21","F8",50.951897,-122.96442,1240,"."
"22","F9",50.935693,-122.961034,1168,"."
"23","G3",51.073422,-122.912561,1981,"."
"24","G4",51.051962,-122.915583,1529,"."
"25","G6",50.999161,-122.93003,2041,"."
"26","G7",50.975825,-122.905479,1823,"."
"27","G9",50.917034,-122.930963,1085,"."
"28","H10",50.907762,-122.888673,990,"."
"29","H11",50.87981,-122.891587,1226,"."
"30","H3",51.1021,-122.869756,1441,"."
"31","H4",51.067641,-122.889363,1778,"."
"32","H5",51.043259,-122.869968,1353,"."
"33","H7",50.98697,-122.883786,2010,"."
"34","H8",50.960709,-122.882466,1855,"."
"35","H9",50.934337,-122.880484,1720,"."
"36","I10",50.894045,-122.848907,898,"."
"37","I11",50.866635,-122.855433,1015,"."
"38","I3",51.080326,-122.84052,1538,"."
"39","I4",51.0591,-122.841199,1415,"."
"40","I5",51.030609,-122.855043,1694,"."
"41","I6",50.996715,-122.845407,1829,"."
"42","I7",50.964936,-122.848288,1894,"."
"43","I8",50.937709,-122.849468,1508,"."
"44","I9",50.91956,-122.852628,1164,"."
"45","J10",50.901516,-122.814836,879,"."
"46","J10a",50.913812,-122.825037,914,"."
"47","J4",51.06542,-122.809916,1455,"."
"48","J5",51.037755,-122.811236,1805,"."
"49","J7",50.994913,-122.81622,1595,"."
"50","J8",50.962548,-122.815251,2141,"."
"51","J9",50.931075,-122.813163,1107,"."
"52","K10",50.895394,-122.783866,862,"."
"53","K2",51.108769,-122.75891,1664,"."
"54","K3",51.077849,-122.765067,1377,"."
"55","K4",51.050906,-122.766742,1303,"."
"56","K5",51.024476,-122.761583,1255,"."
"57","K6",50.994142,-122.761066,1281,"."
"58","K7",50.970072,-122.770322,1512,"."
"59","K8",50.943419,-122.781792,1054,"."
"60","K9",50.921725,-122.77309,943,"."
"61","L10",50.903154,-122.745558,796,"."
"62","L3",51.123299,-122.736639,1484,"."
"63","L6",51.00859,-122.741038,1277,"."
"64","L7",50.982843,-122.736299,1114,"."
"65","L8",50.951877,-122.741765,1002,"."
"66","L9",50.935836,-122.737634,1281,"."
"67","M9",50.91452,-122.707034,857,"."
